,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
218,Maruti Suzuki Vitara,PLATINUM,Pune,838699,34566, Diesel , 2nd Owner,2019,Maruti
219,Renault Kwid -,PLATINUM,Pune,446499,34297, Petrol , 2nd Owner,2018,Renault
220,Tata Hexa -,PLATINUM,Pune,1047499,119571, Diesel , 2nd Owner,2017,Tata
221,Maruti Suzuki Alto,PLATINUM,Pune,345599,27957, Petrol , 2nd Owner,2018,Maruti
222,Ford Ecosport -,PLATINUM,Pune,784399,27210, Petrol , 2nd Owner,2018,Ford
223,Maruti Suzuki Swift,PLATINUM,Pune,489399,21610, Petrol , 2nd Owner,2014,Maruti
224,Maruti Suzuki Baleno,PLATINUM,Pune,627499,40902, Petrol , 2nd Owner,2017,Maruti
225,Maruti Suzuki Alto,PLATINUM,Pune,288399,11057, Petrol , 2nd Owner,2015,Maruti
226,Maruti Suzuki Baleno,PLATINUM,Pune,573999,72505, Petrol , 2nd Owner,2016,Maruti
227,Hyundai Creta -,PLATINUM,Pune,1373699,31338, Petrol , 1st Owner,2018,Hyundai
228,Maruti Suzuki Alto,PLATINUM,Pune,279799,28674, Petrol , 2nd Owner,2016,Maruti
229,Hyundai Elite i20,PLATINUM,Pune,658199,25416, Petrol , 1st Owner,2018,Hyundai
230,Hyundai Grand i10,PLATINUM,Pune,465499,14765, Petrol , 2nd Owner,2016,Hyundai
231,Toyota Etios -,PLATINUM,Pune,563999,60380, Diesel , 1st Owner,2015,Toyota
240,Maruti Suzuki Baleno,PLATINUM,Pune,718699,19775, Petrol , 2nd Owner,2018,Maruti
241,Tata Tiago -,PLATINUM,Pune,543399,28495, Petrol , 1st Owner,2018,Tata
242,Hyundai Creta -,PLATINUM,Pune,1780399,28344, Diesel , 2nd Owner,2020,Hyundai
243,Toyota Glanza -,PLATINUM,Pune,757999,10801, Petrol , 2nd Owner,2020,Toyota
244,Tata Nexon -,PLATINUM,Pune,1013999,4365, Petrol , 1st Owner,2019,Tata
245,Maruti Suzuki Celerio,PLATINUM,Pune,439999,53266, Diesel , 2nd Owner,2016,Maruti
246,Maruti Suzuki S,PLATINUM,Pune,839199,50866, Diesel , 2nd Owner,2018,Maruti
247,Maruti Suzuki Alto,PLATINUM,Pune,421799,24230, Petrol , 2nd Owner,2019,Maruti
248,Maruti Suzuki Baleno,PLATINUM,Pune,580599,64275, Petrol , 2nd Owner,2016,Maruti
249,Hyundai Venue -,PLATINUM,Pune,986799,8924, Petrol , 2nd Owner,2019,Hyundai
250,MG Motors Hector,PLATINUM,Pune,2057399,12208, Petrol , 2nd Owner,2021,MG
251,Honda City V,PLATINUM,Pune,1082299,26956, Petrol , 2nd Owner,2018,Honda
252,Hyundai Grand i10,PLATINUM,Pune,576999,12223, Petrol , 2nd Owner,2017,Hyundai
253,Hyundai Grand i10,PLATINUM,Pune,533199,23960, Petrol , 2nd Owner,2016,Hyundai
254,Maruti Suzuki Wagon,PLATINUM,Pune,473299,33687, Petrol , 2nd Owner,2015,Maruti
255,MG Motors Hector,PLATINUM,Pune,1838399,24887, Petrol , 2nd Owner,2020,MG
256,Toyota Innova 2.5,GOLD,Mumbai,800000,74000, Diesel , 2nd Owner,2013,Toyota
261,BMW 3 Series,GOLD,Mumbai,1890000,61000, Diesel , 2nd Owner,2015,BMW
262,Jaguar XF 2.2,GOLD,Mumbai,2150000,20000, Diesel , 2nd Owner,2014,Jaguar
263,Hyundai Verna Fluidic,GOLD,Mumbai,699000,26000, Petrol , 1st Owner,2015,Hyundai
264,Hyundai Grand i10,PLATINUM,Pune,451799,71423, Petrol , 2nd Owner,2015,Hyundai
265,Hyundai Grand i10,PLATINUM,Pune,446999,34095, Petrol , 1st Owner,2015,Hyundai
266,Maruti Suzuki Wagon,PLATINUM,Pune,470799,32658, Petrol , 2nd Owner,2016,Maruti
267,Maruti Suzuki Ignis,PLATINUM,Pune,511799,33166, Petrol , 2nd Owner,2017,Maruti
268,Maruti Suzuki Wagon,PLATINUM,Chennai,399899,31284, Petrol , 2nd Owner,2014,Maruti
269,Maruti Suzuki Wagon,PLATINUM,Pune,375999,66090, Petrol , 2nd Owner,2015,Maruti
270,Ford Ecosport -,PLATINUM,Pune,664799,51295, Petrol , 2nd Owner,2016,Ford
271,Maruti Suzuki Baleno,PLATINUM,Pune,617799,48693, Petrol , 2nd Owner,2016,Maruti
272,Maruti Suzuki Ciaz,PLATINUM,Pune,749299,36626, Diesel , 2nd Owner,2017,Maruti
273,Renault Duster -,PLATINUM,Pune,795799,55752, Diesel , 2nd Owner,2016,Renault
274,Tata Tigor -,PLATINUM,Pune,543499,49341, Diesel , 2nd Owner,2017,Tata
275,Maruti Suzuki Alto,PLATINUM,Chennai,317199,60251, Petrol , 2nd Owner,2015,Maruti
276,Maruti Suzuki Alto,PLATINUM,Pune,373699,22269, Petrol , 2nd Owner,2015,Maruti
